Ward	building total	floorspace m3	residential value 2018 '000 yen / m3	commercial land value 2018 '000 yen / m3
Chiyoda-ku	1660	143683	2619	6449
Chuo-ku	4418	342186	1196	9010
Minato-ku	8164	858520	1781	4201
Shinjuku-ku	26200	2670827	709	4405
Bunkyo-ku	19684	2015557	868	1296
Taito-ku	17195	1529651	806	1291
Sumida-ku	26536	2270017	394	672
Koto-ku	26614	2299538	431	742
Shinagawa-ku	40476	3898343	759	1470
Meguro-ku	33980	3869268	876	1585
Ota-ku	95081	9605495	502	807
Setagaya-ku	125899	14270061	589	874
Shibuya-ku	17941	1910347	1142	5945
Nakano-ku	44852	4637584	544	1018
Suginami-ku	92371	10155636	500	822
Toshima-ku	32231	3226887	548	1885
Kita-ku	44093	4129297	459	807
Arakawa-ku	27384	2458526	430	730
Itabashi-ku	63588	6310085	392	624
Nerima-ku	116587	12200972	369	689
Adachi-ku	104669	9964145	284	506
Katsushika-ku	77254	7243887	301	466
Edogawa-ku	94442	9231685	332	572